group_id,avg_duration,std_duration,std_precentage,is_std_anomaly
MMLU_ARRANGED_GROUP_001,322.5,63.89835678638379,0.1981344396477017,False
MMLU_ARRANGED_GROUP_002,410.5,192.31657928183589,0.46849349398741996,False
MMLU_ARRANGED_GROUP_003,233.75,19.872510326243805,0.08501608695719275,False
MMLU_ARRANGED_GROUP_004,299.0,97.14936952960632,0.3249142793632318,False
MMLU_ARRANGED_GROUP_005,353.0,80.31189202104505,0.22751244198596332,False
MMLU_ARRANGED_GROUP_006,2495.75,4203.546627551549,1.6842819303021332,True
MMLU_ARRANGED_GROUP_007,380.5,78.59389289251423,0.2065542520171202,False
MMLU_ARRANGED_GROUP_008,507.75,489.3985254030366,0.9638572632260691,True
MMLU_ARRANGED_GROUP_009,420.25,169.87127479359188,0.4042148121203852,False
MMLU_ARRANGED_GROUP_010,2311.75,3920.883435740811,1.6960672372621655,True
MMLU_ARRANGED_GROUP_011,356.5,113.55321806683126,0.31852235081860103,False
MMLU_ARRANGED_GROUP_012,350.5,116.79183761433559,0.33321494326486617,False
MMLU_ARRANGED_GROUP_013,356.25,104.21892022724728,0.29254433747999237,False
MMLU_ARRANGED_GROUP_014,374.0,120.87183294713455,0.3231867191099854,False
MMLU_ARRANGED_GROUP_015,367.25,212.18290066198392,0.5777614721905621,False
MMLU_ARRANGED_GROUP_016,332.75,105.56632985947746,0.3172541844011344,False
MMLU_ARRANGED_GROUP_017,287.0,49.48400414948922,0.17241813292504957,False
MMLU_ARRANGED_GROUP_018,260.0,67.02735759871985,0.25779752922584553,False
MMLU_ARRANGED_GROUP_019,320.25,132.45722580013017,0.4136057011713667,False
MMLU_ARRANGED_GROUP_020,304.0,82.36908805290165,0.27095094754243965,False
MMLU_ARRANGED_GROUP_021,415.0,151.30763364747992,0.36459670758428897,False
MMLU_ARRANGED_GROUP_022,388.0,92.28939989691845,0.23785927808484136,False
MMLU_ARRANGED_GROUP_023,273.0,45.90570044486124,0.1681527488822756,False
MMLU_ARRANGED_GROUP_024,2002.0,3424.3742007360506,1.710476623744281,True
MMLU_ARRANGED_GROUP_025,359.0,138.2075733573719,0.3849793129731808,False
MMLU_ARRANGED_GROUP_026,267.5,235.04538568823966,0.8786743390214566,False
MMLU_ARRANGED_GROUP_027,281.75,98.09646612731096,0.3481684689523015,False
MMLU_ARRANGED_GROUP_028,340.0,133.77842377105011,0.39346595226779446,False
MMLU_ARRANGED_GROUP_029,393.25,152.7642519265115,0.38846599345584615,False
MMLU_ARRANGED_GROUP_030,312.0,53.69667897862338,0.1721047403161006,False
MMLU_ARRANGED_GROUP_031,350.75,84.52760890186512,0.2409910446239918,False
MMLU_ARRANGED_GROUP_032,302.0,90.46914759555695,0.29956671389257267,False
MMLU_ARRANGED_GROUP_033,371.25,68.5729538520837,0.18470829320426585,False
MMLU_ARRANGED_GROUP_034,405.25,59.673416750397884,0.14725087415274,False
MMLU_ARRANGED_GROUP_035,310.5,112.52407149879828,0.36239636553558224,False
MMLU_ARRANGED_GROUP_036,2830.0,5048.721620370844,1.7840005725692027,True
MMLU_ARRANGED_GROUP_037,314.75,119.81478762378764,0.3806665214417399,False
MMLU_ARRANGED_GROUP_038,7368.25,14199.897989657064,1.9271737508441031,True
MMLU_ARRANGED_GROUP_039,3599.0,3866.8189337835133,1.0744148190562692,True
MMLU_ARRANGED_GROUP_040,349.75,200.78076767127538,0.5740693857649046,False
MMLU_ARRANGED_GROUP_041,4427.25,7976.017442934788,1.8015737631565392,True
MMLU_ARRANGED_GROUP_042,365.5,101.20111988840176,0.2768840489422757,False
MMLU_ARRANGED_GROUP_043,446.25,263.01124817518104,0.5893809482917222,False
MMLU_ARRANGED_GROUP_044,355.5,56.935636175129076,0.1601565011958624,False
MMLU_ARRANGED_GROUP_045,1920.5,3512.508932372984,1.8289554451304264,True
MMLU_ARRANGED_GROUP_046,404.25,203.66046089836223,0.5037982953577297,False
MMLU_ARRANGED_GROUP_047,380.0,213.71164373207807,0.562399062452837,False
MMLU_ARRANGED_GROUP_048,433.0,96.94672076283274,0.22389542901347054,False
MMLU_ARRANGED_GROUP_049,340.25,36.62763073600766,0.10764917189127894,False
MMLU_ARRANGED_GROUP_050,388.25,45.44135414648938,0.11704147880615423,False
MMLU_ARRANGED_GROUP_051,307.75,103.05783166099832,0.3348751638050311,False
MMLU_ARRANGED_GROUP_052,334.25,106.24617640178869,0.31786440209959216,False
MMLU_ARRANGED_GROUP_053,301.0,110.74595553186882,0.36792676256434825,False
MMLU_ARRANGED_GROUP_054,453.0,131.7193987231949,0.29077129960970177,False
MMLU_ARRANGED_GROUP_055,314.25,14.453949863849212,0.04599506718806432,False
MMLU_ARRANGED_GROUP_056,704.25,679.8501673162992,0.9653534502183873,True
MMLU_ARRANGED_GROUP_057,313.25,134.16004124427909,0.42828424978221574,False
MMLU_ARRANGED_GROUP_058,262.5,61.538605769061746,0.23443278388213998,False
MMLU_ARRANGED_GROUP_059,329.25,63.59965932822806,0.19316525232567366,False
MMLU_ARRANGED_GROUP_060,2266.0,3952.314511776612,1.744181161419511,True
MMLU_ARRANGED_GROUP_061,313.5,73.53230582539895,0.23455280965039538,False
MMLU_ARRANGED_GROUP_062,330.5,44.6056797579262,0.13496423527360424,False
MMLU_ARRANGED_GROUP_063,2224.75,3978.2258503843977,1.7881675920370368,True
MMLU_ARRANGED_GROUP_064,486.25,494.32538204439123,1.0166074695000333,True
MMLU_ARRANGED_GROUP_065,374.5,96.94500159024875,0.25886515778437585,False
